nationality,alpha_3_code
Saudi, SAU
Saudi Arabian,SAU
Senegalese,SEN
Serbian,SRB
Serb,SRB
Seychellois,SYC
Sierra Leonean,SLE
Singaporean,SGP
Sint Maarten,SXM
Slovak,SVK
Slovenian, SVN
Slovene,SVN
Solomon Island,SLB
Somali,SOM
Somalian,SOM
South African,ZAF
South Sudanese,SSD
Spanish,ESP
Sri Lankan,LKA
Sudanese,SDN
Surinamese,SUR
Svalbard,SJM
Swazi,SWZ
Swedish,SWE
Swiss,CHE
Syrian,SYR
Taiwanese,TWN
Tajikistani,TJK
Tanzanian,TZA
Thai,THA
Timorese,TLS
Togolese,TGO
Tokelauan,TKL
Tongan,TON
Trinidadian,TTO
Tobagonian,TTO
Tunisian,TUN
Turkish,TUR
Turkmen,TKM
Turkmeni,TKM
Tuvaluan,TUV
Ugandan,UGA
Ukrainian,UKR
Emirati,ARE
Emirian,ARE
Emiri,ARE
British,GBR
UK, GBR
American,USA
Uruguayan,URY
Uzbekistani,UZB
Uzbek,UZB
Uzbeki,UZB
Ni-Vanuatu,VUT
Vanuatuan,VUT
Venezuelan,VEN
Vietnamese,VNM
Wallisian,WLF
Futunan,WLF
Sahrawi,ESH
Sahrawian,ESH
Sahraouian,ESH
Yemeni,YEM
Zambian,ZMB
Zimbabwean,ZWE
